web-scraper-order,web-scraper-start-url,name,meaning
"1553606363-2187","https://www.babynamesdirect.com/baby-names/tamil/boy/a/10","Ashokraj",""
"1553606384-3019","https://www.babynamesdirect.com/baby-names/tamil/boy/a/5","Akshat",""
"1553606372-2638","https://www.babynamesdirect.com/baby-names/tamil/boy/a/8","","Rural God"
"1553606363-2331","https://www.babynamesdirect.com/baby-names/tamil/boy/a/10","","Handsome"
"1553606396-3615","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","","Lion; Matchless; Uncomparable; …"
"1553606359-2098","https://www.babynamesdirect.com/baby-names/tamil/boy/a/11","","Kind and Intelligent"
"1553606391-3441","https://www.babynamesdirect.com/baby-names/tamil/boy/a/3","Aadhil",""
"1553606355-1943","https://www.babynamesdirect.com/baby-names/tamil/boy/a/12","","Courageous"
"1553606396-3688","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","","Yogi; Now"
"1553606376-2809","https://www.babynamesdirect.com/baby-names/tamil/boy/a/7","","Happy; Joy; Blissful One; One who …"
"1553606355-1964","https://www.babynamesdirect.com/baby-names/tamil/boy/a/12","","King of Dance"
"1553606359-2087","https://www.babynamesdirect.com/baby-names/tamil/boy/a/11","","Lord of Gods; King of Devas"
"1553606380-2881","https://www.babynamesdirect.com/baby-names/tamil/boy/a/6","Aadhesh",""
"1553606372-2545","https://www.babynamesdirect.com/baby-names/tamil/boy/a/8","Avantik",""
"1553606389-3327","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","","A Command"
"1553606359-2136","https://www.babynamesdirect.com/baby-names/tamil/boy/a/11","","Add Meaning"
"1553606391-3416","https://www.babynamesdirect.com/baby-names/tamil/boy/a/3","Asvin",""
"1553606396-3632","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","","Dazzling; Brilliant"
"1553606380-2935","https://www.babynamesdirect.com/baby-names/tamil/boy/a/6","","Strong; Name of Lord Vishnu; Also …"
"1553606389-3255","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","Agilan",""
"1553606363-2258","https://www.babynamesdirect.com/baby-names/tamil/boy/a/10","","Light of Understanding; …"
"1553606367-2468","https://www.babynamesdirect.com/baby-names/tamil/boy/a/9","","The Sky; The King of the Sky; Name …"
"1553606396-3614","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","","First; Sun; The Beginning; Lord …"
"1553606384-3070","https://www.babynamesdirect.com/baby-names/tamil/boy/a/5","Arinan",""
"1553606396-3628","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","","Intelligence; Coming; Arrival"
"1553606376-2689","https://www.babynamesdirect.com/baby-names/tamil/boy/a/7","Adyukth",""
